ID	Name	Description	Disease	Individual_id	_INFO	Gender	#Sequencing_Panel	Sample_ID(Aliases)	Region	Country	Town	Contributor	Latitude	Longitude	DNA_Source	Embargo	"SGDP-lite category: X=FullyPublic, Y=SignedLetterNoDelay, Z=SignedLetterDelay, DO_NOT_USE=do.not.use"
HGDP01286	B_Mandenka-3	Mandenka		SS6004470		M	B	HGDP01286	Africa	Senegal	?	Howard Cann	12	-12	Genomic_from_cell_lines	FullyPublic	X
HGDP00982	B_Mbuti-4	Mbuti		SS6004471		M	B	HGDP00982	Africa	Congo	?	Howard Cann	1	29	Genomic_from_cell_lines	FullyPublic	X
mixe0007	B_Mixe-1	Mixe		SS6004479		F	B	mixe0007	America	Mexico	"Tmazulapan, Mixe"	William Klitz / Cheryl Winkler	16.95	-96.58	Genomic_from_cell_lines	FullyPublic	X
HGDP00546	B_Papuan-15	Papuan		SS6004472		M	B	HGDP00546	Oceania	PapuaNewGuinea	?	Howard Cann	-4	143	Genomic_from_cell_lines	FullyPublic	X
HGDP01076	B_Sardinian-3	Sardinian		SS6004474		M	B	HGDP01076	WestEurasia	Italy	?	Howard Cann	40	9	Genomic_from_cell_lines	FullyPublic	X
HGDP00936	B_Yoruba-3	Yoruba		SS6004475		M	B	HGDP00936	Africa	Nigeria	?	Howard Cann	7.4	3.9	Genomic_from_cell_lines	FullyPublic	X
ALB212	S_Albanian-1	Albanian		LP6005677-DNA_B01		F	C	ALB212	WestEurasia	Albania	Tirana	David Comas	41.3	19.8	Genomic_from_blood	FullyPublic	X
altai363p	S_Altaian-1	Altaian		LP6005442-DNA_F02		M	C	altai363p	CentralAsiaSiberia	Russia	"Tenga, Ongudaisky district, Altai Republic"	Mait Metspalu / Olga Posukh	50.84	85.654	Genomic_from_blood	FullyPublic	X
NA13604	S_Atayal-1	Atayal		LP6005442-DNA_E07		M	C	NA13604	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	Coriell	24.611712	121.296444	Genomic_from_cell_lines	FullyPublic	X
TGBS21	S_Chane-1	Chane		LP6005519-DNA_D01		M	C	TGBS21	America	Argentina	"Salta (province), Tartagal (city) "	Andres Ruiz-Linares / Claudio M. Bravi	-22.53	-63.82	Genomic_from_blood	FullyPublic	X
ch113	S_Chechen-1	Chechen		LP6005442-DNA_D03		M	C	ch113	WestEurasia	Russia	Grozny_in_Chechen_Republic	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	43.333	45.65	Genomic_from_blood	FullyPublic	X
Sir19	S_Chukchi-1	Chukchi		LP6005443-DNA_C03		M	C	Sir19	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	69	169	Genomic_from_blood	FullyPublic	X
NA15728	S_Czech-2	Czech		LP6005443-DNA_H05		M	C	NA15728	WestEurasia	Czechoslovia(pre1989)	Cell_line_repository_sampling_location_unknown	Coriell	50.1	14.4	Genomic_from_cell_lines	FullyPublic	X
Esk29	S_Eskimo_Chaplin-1	Eskimo_Chaplin		LP6005443-DNA_D03		M	C	Esk29	CentralAsiaSiberia	Russia	"New Chaplino, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	64.48	172.86	Genomic_from_blood	FullyPublic	X
NA17385	S_Hawaiian-1	Hawaiian		LP6005592-DNA_H03		M	C	NA17385	Oceania	USA	Cell_line_repository_sampling_location_unknown	Coriell	21.3	-157.8	Genomic_from_cell_lines	FullyPublic	X
Kor82	S_Itelman-1	Itelman		LP6005443-DNA_D04		F	C	Kor82	CentralAsiaSiberia	Russia	"Kovran, Kamchatka"	Rem Sukernik / Stanislav Dryomov	57	157	Genomic_from_blood	FullyPublic	X
KD4	S_Khonda_Dora-1	Khonda_Dora		LP6005519-DNA_E05		M	C	KD4	SouthAsia	India	?	Lynn Jorde / Mike Bamshad / Scott Watkins	18.3	82.9	Genomic_from_blood	FullyPublic	X
NA17386	S_Maori-1	Maori		LP6005592-DNA_B02		M	C	NA17386	Oceania	New Zealand	Cell_line_repository_sampling_location_unknown	Coriell	-41.3	174.5	Genomic_from_cell_lines	FullyPublic	X
NOR111	S_Norwegian-1	Norwegian		LP6005592-DNA_B01		U	C	NOR111	WestEurasia	Norway	Bergen	Cristian Capelli / Tor Hervig	60.4	5.4	Genomic_from_blood	FullyPublic	X
ND15865	S_Polish-1	Polish		LP6005592-DNA_E02		M	C	ND15865	WestEurasia	Poland	Cell_line_repository_sampling_location_unknown	Coriell	52.2	21	Genomic_from_cell_lines	FullyPublic	X
Sam02	S_Samaritan-1	Samaritan		LP6005592-DNA_D04		M	C	Sam02	WestEurasia	Israel	Mount Gerizim	Mait Metspalu / Doron Behar	32.203	35.27	Genomic_from_blood	FullyPublic	X
Ayodo_81S	S_Somali-1	Somali		LP6005442-DNA_D09		F	C	Ayodo_81S	Africa	Kenya	Garissa	Geoge Ayodo	5.6	48.3	Genomic_from_blood	FullyPublic	X
armenia293	S_Armenian-1	Armenian		LP6005442-DNA_G02		M	C	armenia293	WestEurasia	Armenia	Yerevan but all 4 ancestorscome from Nagorno Kharabakh	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	39.815	46.752	Genomic_from_blood	FullyPublic	X
Armenian222	S_Armenian-2	Armenian		LP6005519-DNA_F03		M	C	Armenian222	WestEurasia	Armenia	born in Akhuzyan but all 4 ancestors come from Kars - now Turkey	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	40.605	43.101	Genomic_from_blood	FullyPublic	X
HGDP00090	S_Balochi-1	Balochi		LP6005441-DNA_D01		M	C	HGDP00090	SouthAsia	Pakistan	?	Howard Cann	30.5	66.5	Genomic_from_cell_lines	FullyPublic	X
HGDP00058	S_Balochi-2	Balochi		LP6005441-DNA_C01		M	C	HGDP00058	SouthAsia	Pakistan	?	Howard Cann	30.49871492	66.5	Genomic_from_cell_lines	FullyPublic	X
HGDP01153	S_Bergamo-1	Bergamo		LP6005441-DNA_A06		M	C	HGDP01153	WestEurasia	Italy(Bergamo)	?	Howard Cann	46	10	Genomic_from_cell_lines	FullyPublic	X
HGDP01172	S_Bergamo-2	Bergamo		LP6005441-DNA_B06		F	C	HGDP01172	WestEurasia	Italy(Bergamo)	?	Howard Cann	46	10	Genomic_from_cell_lines	FullyPublic	X
HGDP01217	S_Daur-1	Daur		LP6005443-DNA_C01		U	C	HGDP01217	EastAsia	China	?	Howard Cann	48.5	124	Genomic_from_cell_lines	FullyPublic	X
HGDP01215	S_Daur-2	Daur		LP6005441-DNA_F04		F	C	HGDP01215	EastAsia	China	?	Howard Cann	48.5	124	Genomic_from_cell_lines	FullyPublic	X
NA21490	S_Masai-1	Masai		LP6005443-DNA_F06		M	C	NA21490	Africa	Kenya	Kinyawa	Coriell	-1.5	35.2	Genomic_from_cell_lines	FullyPublic	X
NA21581	S_Masai-2	Masai		LP6005443-DNA_E06		M	C	NA21581	Africa	Kenya	Kinyawa	Coriell	-1.5	35.2	Genomic_from_cell_lines	FullyPublic	X
HGDP01253	S_Mozabite-1	Mozabite		LP6005441-DNA_G08		M	C	HGDP01253	Africa	Algeria	?	Howard Cann	32	3	Genomic_from_cell_lines	FullyPublic	X
HGDP01274	S_Mozabite-2	Mozabite		LP6005441-DNA_H08		F	C	HGDP01274	Africa	Algeria	?	Howard Cann	32	3	Genomic_from_cell_lines	FullyPublic	X
HGDP01047	S_Pima-1	Pima		LP6005441-DNA_E10		M	C	HGDP01047	America	Mexico	?	Howard Cann	29	-108	Genomic_from_cell_lines	FullyPublic	X
HGDP01044	S_Pima-2	Pima		LP6005441-DNA_F10		F	C	HGDP01044	America	Mexico	?	Howard Cann	29	-108	Genomic_from_cell_lines	FullyPublic	X
HGDP00887	S_Russian-1	Russian		LP6005441-DNA_G10		M	C	HGDP00887	WestEurasia	Russia	Vologda Administrative Region	Howard Cann	61	40	Genomic_from_cell_lines	FullyPublic	X
HGDP00903	S_Russian-2	Russian		LP6005441-DNA_H10		F	C	HGDP00903	WestEurasia	Russia	Vologda Administrative Region	Howard Cann	61	40	Genomic_from_cell_lines	FullyPublic	X
HGDP00749	S_Japanese-1	Japanese		LP6005441-DNA_C06		M	C	HGDP00749	EastAsia	Japan	?	Howard Cann	37.85	139	Genomic_from_cell_lines	FullyPublic	X
Jordan603	S_Jordanian-2	Jordanian		LP6005442-DNA_F04		M	C	Jordan603	WestEurasia	Jordan	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Juri Parik	32.055	35.914	Genomic_from_blood	FullyPublic	X
HGDP00991	S_Ju_hoan_North-1	Ju_hoan_North		LP6005443-DNA_G08		M	C	HGDP00991	Africa	Namibia	?	Howard Cann	-18.9	21.5	Genomic_from_cell_lines	FullyPublic	X
HGDP00737	S_Palestinian-3	Palestinian		LP6005441-DNA_H09		F	C	HGDP00737	WestEurasia	Israel(Central)	?	Howard Cann	32	35	Genomic_from_cell_lines	FullyPublic	X
HG02494	S_Punjabi-4	Punjabi		LP6005592-DNA_A04		F	C	HG02494	SouthAsia	Pakistan	Lahore	1KG	31.5	74.3	Genomic_from_cell_lines	FullyPublic	X
HGDP00541	S_Papuan-3	Papuan		LP6005441-DNA_A10		M	C	HGDP00541	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	-4	143	Genomic_from_cell_lines	FullyPublic	X
abh107	S_Abkhasian-1	Abkhasian		LP6005442-DNA_C02		M	C	abh107	WestEurasia	Abkhazia	Sukhum	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	43.003	41.015	Genomic_from_blood	FullyPublic	X
abh100	S_Abkhasian-2	Abkhasian		LP6005442-DNA_D02		M	C	abh100	WestEurasia	Russia	Sukhum	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	43.003	41.015	Genomic_from_blood	FullyPublic	X
HGDP01402	S_Adygei-1	Adygei		LP6005441-DNA_A01		M	C	HGDP01402	WestEurasia	Russia(Caucasus)	Krasnodar	Howard Cann	44	39	Genomic_from_cell_lines	FullyPublic	X
HGDP01401	S_Adygei-2	Adygei		LP6005441-DNA_B01		F	C	HGDP01401	WestEurasia	Russia(Caucasus)	Krasnodar	Howard Cann	44	39	Genomic_from_cell_lines	FullyPublic	X
Ale22	S_Aleut-1	Aleut		LP6005443-DNA_A03		M	C	Ale22	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	Rem Sukernik / Stanislav Dryomov	55.18	166	Genomic_from_blood	FullyPublic	X
Ale20	S_Aleut-2	Aleut		LP6005443-DNA_H02		F	C	Ale20	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	Rem Sukernik / Stanislav Dryomov	55.18	166	Genomic_from_blood	FullyPublic	X
NA13607	S_Ami-1	Ami		LP6005442-DNA_C07		M	C	NA13607	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	Coriell	22.843145	121.185356	Genomic_from_cell_lines	FullyPublic	X
NA13616	S_Ami-2	Ami		LP6005443-DNA_G05		M	C	NA13616	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	Coriell	22.843145	121.185356	Genomic_from_cell_lines	FullyPublic	X
HGDP01028	S_BantuHerero-1	BantuHerero		LP6005443-DNA_E02		M	C	HGDP01028	Africa	BotswanaOrNamibia	?	Howard Cann	-22	19	Genomic_from_cell_lines	FullyPublic	X
HGDP01035	S_BantuHerero-2	BantuHerero		LP6005441-DNA_F01		M	C	HGDP01035	Africa	BotswanaOrNamibia	?	Howard Cann	-22	19	Genomic_from_cell_lines	FullyPublic	X
HGDP01417	S_BantuKenya-1	BantuKenya		LP6005443-DNA_A01		M	C	HGDP01417	Africa	Kenya	?	Howard Cann	-3	37	Genomic_from_cell_lines	FullyPublic	X
HGDP01414	S_BantuKenya-2	BantuKenya		LP6005441-DNA_B02		F	C	HGDP01414	Africa	Kenya	?	Howard Cann	-3	37	Genomic_from_cell_lines	FullyPublic	X
HGDP01030	S_BantuTswana-1	BantuTswana		LP6005443-DNA_G02		M	C	HGDP01030	Africa	BotswanaOrNamibia	?	Howard Cann	-28	24	Genomic_from_cell_lines	FullyPublic	X
HGDP01034	S_BantuTswana-2	BantuTswana		LP6005443-DNA_F02		M	C	HGDP01034	Africa	BotswanaOrNamibia	?	Howard Cann	-28	24	Genomic_from_cell_lines	FullyPublic	X
HGDP01364	S_Basque-1	Basque		LP6005441-DNA_C02		M	C	HGDP01364	WestEurasia	France	?	Howard Cann	43	0	Genomic_from_cell_lines	FullyPublic	X
HGDP01365	S_Basque-2	Basque		LP6005441-DNA_D02		F	C	HGDP01365	WestEurasia	France	?	Howard Cann	43	0	Genomic_from_cell_lines	FullyPublic	X
HGDP00616	S_BedouinB-1	BedouinB		LP6005441-DNA_E02		M	C	HGDP00616	WestEurasia	Israel(Negev)	?	Howard Cann	31	35	Genomic_from_cell_lines	FullyPublic	X
HGDP00650	S_BedouinB-2	BedouinB		LP6005441-DNA_F02		F	C	HGDP00650	WestEurasia	Israel(Negev)	?	Howard Cann	31	35	Genomic_from_cell_lines	FullyPublic	X
HG03006	S_Bengali-1	Bengali		LP6005442-DNA_G09		M	C	HG03006	SouthAsia	Bangladesh	?	1KG	23.7	90.4	Genomic_from_cell_lines	FullyPublic	X
HG03007	S_Bengali-2	Bengali		LP6005442-DNA_H09		F	C	HG03007	SouthAsia	Bangladesh	?	1KG	23.7	90.4	Genomic_from_cell_lines	FullyPublic	X
HGDP00457	S_Biaka-1	Biaka		LP6005441-DNA_G02		M	C	HGDP00457	Africa	Central African Republic	?	Howard Cann	4	17	Genomic_from_cell_lines	FullyPublic	X
HGDP00461	S_Biaka-2	Biaka		LP6005441-DNA_H02		M	C	HGDP00461	Africa	Central African Republic	?	Howard Cann	4	17	Genomic_from_cell_lines	FullyPublic	X
HGDP00660	S_Bougainville-1	Bougainville		LP6005441-DNA_B03		F	C	HGDP00660	Oceania	PapuaNewGuinea	Bougainville_Island	Howard Cann	-6	155	Genomic_from_cell_lines	FullyPublic	X
HGDP00656	S_Bougainville-2	Bougainville		LP6005441-DNA_A03		F	C	HGDP00656	Oceania	PapuaNewGuinea	Bougainville_Island	Howard Cann	-6	155	Genomic_from_cell_lines	FullyPublic	X
B11	S_Brahmin-1	Brahmin		LP6005519-DNA_G03		M	C	B11	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	17.7	83.3	Genomic_from_blood	FullyPublic	X
B17	S_Brahmin-2	Brahmin		LP6005519-DNA_H03		M	C	B17	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	17.7	83.3	Genomic_from_blood	FullyPublic	X
HGDP00027	S_Brahui-1	Brahui		LP6005441-DNA_D03		M	C	HGDP00027	SouthAsia	Pakistan	?	Howard Cann	30.5	66.5	Genomic_from_cell_lines	FullyPublic	X
HGDP00019	S_Brahui-2	Brahui		LP6005441-DNA_C03		M	C	HGDP00019	SouthAsia	Pakistan	?	Howard Cann	30.5	66.5	Genomic_from_cell_lines	FullyPublic	X
BulgarianB4	S_Bulgarian-1	Bulgarian		LP6005442-DNA_A03		M	C	BulgarianB4	WestEurasia	Bulgaria	Plovdiv	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	42.163	24.741	Genomic_from_blood	FullyPublic	X
BulgarianC1	S_Bulgarian-2	Bulgarian		LP6005442-DNA_B03		M	C	BulgarianC1	WestEurasia	Bulgaria	Plovdiv	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	42.163	24.741	Genomic_from_blood	FullyPublic	X
Bu16	S_Burmese-1	Burmese		LP6005519-DNA_B06		M	C	Bu16	EastAsia	Myanmar	Mandalay (sampled in Singapore)	Toomas Kivisild / Joseph Wee Tien Seng	17	96.7	Genomic_from_saliva	FullyPublic	X
Bu5	S_Burmese-2	Burmese		LP6005519-DNA_A06		M	C	Bu5	EastAsia	Myanmar	Yangon (sampled in Singapore)	Toomas Kivisild / Joseph Wee Tien Seng	17	96.7	Genomic_from_saliva	FullyPublic	X
HGDP00428	S_Burusho-1	Burusho		LP6005441-DNA_E03		M	C	HGDP00428	SouthAsia	Pakistan	?	Howard Cann	36.5	74	Genomic_from_cell_lines	FullyPublic	X
HGDP00338	S_Burusho-2	Burusho		LP6005441-DNA_F03		F	C	HGDP00338	SouthAsia	Pakistan	?	Howard Cann	36.5	74	Genomic_from_cell_lines	FullyPublic	X
HGDP00717	S_Cambodian-1	Cambodian		LP6005441-DNA_G03		M	C	HGDP00717	EastAsia	Cambodia	?	Howard Cann	12	105	Genomic_from_cell_lines	FullyPublic	X
HGDP00713	S_Cambodian-2	Cambodian		LP6005441-DNA_H03		F	C	HGDP00713	EastAsia	Cambodia	?	Howard Cann	12	105	Genomic_from_cell_lines	FullyPublic	X
DNK05	S_Dinka-1	Dinka		LP6005443-DNA_H08		M	C	DNK5	Africa	Sudan	Aweil	Michael Hammer	8.8	27.4	Genomic_from_saliva	FullyPublic	X
DNK11	S_Dinka-2	Dinka		LP6005443-DNA_B09		M	C	DNK11	Africa	Sudan	Aweil	Michael Hammer	8.8	27.4	Genomic_from_saliva	FullyPublic	X
HGDP00569	S_Druze-1	Druze		LP6005443-DNA_D01		F	C	HGDP00569	WestEurasia	Israel(Carmel)	?	Howard Cann	32	35	Genomic_from_cell_lines	FullyPublic	X
HGDP00597	S_Druze-2	Druze		LP6005441-DNA_G04		M	C	HGDP00597	WestEurasia	Israel(Carmel)	?	Howard Cann	32	35	Genomic_from_cell_lines	FullyPublic	X
Dus22	S_Dusun-1	Dusun		LP6005519-DNA_F06		F	C	Dus22	Oceania	Brunei	Tutong District	Toomas Kivisild / M. Syafiq Abdullah	4.7	114.7	Genomic_from_saliva	FullyPublic	X
Dus16	S_Dusun-2	Dusun		LP6005519-DNA_E06		F	C	Dus16	Oceania	Brunei	"Lamunin, Tutong District"	Toomas Kivisild / M. Syafiq Abdullah	4.7	114.7	Genomic_from_saliva	FullyPublic	X
HG00126	S_English-1	English		LP6005442-DNA_E10		M	C	HG00126	WestEurasia	England	Kent	1KG	51.2	0.7	Genomic_from_cell_lines	FullyPublic	X
HG00128	S_English-2	English		LP6005442-DNA_F10		F	C	HG00128	WestEurasia	England	Kent	1KG	51.2	0.7	Genomic_from_cell_lines	FullyPublic	X
HG03100	S_Esan-1	Esan		LP6005442-DNA_A10		M	C	HG03100	Africa	Nigeria	?	1KG	6.5	6	Genomic_from_cell_lines	FullyPublic	X
HG02943	S_Esan-2	Esan		LP6005442-DNA_B10		F	C	HG02943	Africa	Nigeria	?	1KG	6.5	6	Genomic_from_cell_lines	FullyPublic	X
Nesk_22	S_Eskimo_Naukan-1	Eskimo_Naukan		LP6005443-DNA_F03		F	C	Nesk_22	CentralAsiaSiberia	Russia	"Naukan, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	66.02	169.71	Genomic_from_blood	FullyPublic	X
Nesk_25	S_Eskimo_Naukan-2	Eskimo_Naukan		LP6005443-DNA_G03		F	C	Nesk_25	CentralAsiaSiberia	Russia	"Big Diomide Island, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	66.02	169.71	Genomic_from_blood	FullyPublic	X
Sir26	S_Eskimo_Sireniki-1	Eskimo_Sireniki		LP6005443-DNA_B03		M	C	Sir26	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	64.4	173.9	Genomic_from_blood	FullyPublic	X
Sir40	S_Eskimo_Sireniki-2	Eskimo_Sireniki		LP6005443-DNA_H03		F	C	Sir40	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	64.4	173.9	Genomic_from_blood	FullyPublic	X
Est375	S_Estonian-1	Estonian		LP6005442-DNA_H03		M	C	Est375	WestEurasia	Estonia	Parnu	Mait Metspalu / Ene Metspalu / Richard Villems / Juri Parik	58.386	24.502	Genomic_from_blood	FullyPublic	X
Est400	S_Estonian-2	Estonian		LP6005442-DNA_G03		M	C	Est400	WestEurasia	Estonia	Avinurme	Mait Metspalu / Ene Metspalu / Richard Villems / Juri Parik	58.985	26.864	Genomic_from_blood	FullyPublic	X
HGDP00530	S_French-1	French		LP6005441-DNA_A05		M	C	HGDP00530	WestEurasia	France	?	Howard Cann	46	2	Genomic_from_cell_lines	FullyPublic	X
HGDP00526	S_French-2	French		LP6005441-DNA_B05		F	C	HGDP00526	WestEurasia	France	?	Howard Cann	46	2	Genomic_from_cell_lines	FullyPublic	X
HG02464	S_Gambian-1	Gambian		LP6005442-DNA_G10		M	C	HG02464	Africa	Gambia	Western District	1KG	13.4	-16.7	Genomic_from_cell_lines	FullyPublic	X
HG02574	S_Gambian-2	Gambian		LP6005442-DNA_H10		F	C	HG02574	Africa	Gambia	Western District	1KG	13.4	-16.7	Genomic_from_cell_lines	FullyPublic	X
mg27	S_Georgian-1	Georgian		LP6005442-DNA_B04		M	C	mg27	WestEurasia	Georgia	Zugdidi_in_Megrelia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	42.5	41.85	Genomic_from_blood	FullyPublic	X
mg31	S_Georgian-2	Georgian		LP6005442-DNA_A04		M	C	mg31	WestEurasia	Georgia	Zugdidi_in_Megrelia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	42.5	41.85	Genomic_from_blood	FullyPublic	X
NA17377	S_Greek-1	Greek		LP6005442-DNA_G07		M	C	NA17377	WestEurasia	Greece	Cell_line_repository_sampling_location_unknown	Coriell	38	23.7	Genomic_from_cell_lines	FullyPublic	X
NA17374	S_Greek-2	Greek		LP6005443-DNA_A06		M	C	NA17374	WestEurasia	Greece	Cell_line_repository_sampling_location_unknown	Coriell	38	23.7	Genomic_from_cell_lines	FullyPublic	X
HGDP00783	S_Han-1	Han		LP6005441-DNA_D05		F	C	HGDP00783	EastAsia	China	?	Howard Cann	32.3	114	Genomic_from_cell_lines	FullyPublic	X
HGDP00785	S_Han-2	Han		LP6005441-DNA_C05		M	C	HGDP00785	EastAsia	China	?	Howard Cann	32.3	114	Genomic_from_cell_lines	FullyPublic	X
HGDP00124	S_Hazara-1	Hazara		LP6005441-DNA_F05		M	C	HGDP00124	SouthAsia	Pakistan	?	Howard Cann	33.5	70	Genomic_from_cell_lines	FullyPublic	X
HGDP00125	S_Hazara-2	Hazara		LP6005441-DNA_E05		M	C	HGDP00125	SouthAsia	Pakistan	?	Howard Cann	33.5	70	Genomic_from_cell_lines	FullyPublic	X
HGDP01240	S_Hezhen-1	Hezhen		LP6005441-DNA_G05		M	C	HGDP01240	EastAsia	China	?	Howard Cann	47.5	133.5	Genomic_from_cell_lines	FullyPublic	X
HGDP01242	S_Hezhen-2	Hezhen		LP6005441-DNA_H05		F	C	HGDP01242	EastAsia	China	?	Howard Cann	47.5	133.5	Genomic_from_cell_lines	FullyPublic	X
NA15203	S_Hungarian-1	Hungarian		LP6005442-DNA_B08		F	C	NA15203	WestEurasia	Hungary	Cell_line_repository_sampling_location_unknown	Coriell	47.5	19.1	Genomic_from_cell_lines	FullyPublic	X
NA15202	S_Hungarian-2	Hungarian		LP6005442-DNA_A08		M	C	NA15202	WestEurasia	Hungary	Cell_line_repository_sampling_location_unknown	Coriell	47.5	19.1	Genomic_from_cell_lines	FullyPublic	X
NA15761	S_Icelandic-1	Icelandic		LP6005442-DNA_D08		F	C	NA15761	WestEurasia	Iceland	Cell_line_repository_sampling_location_unknown	Coriell	64.1	-21.9	Genomic_from_cell_lines	FullyPublic	X
NA15763	S_Icelandic-2	Icelandic		LP6005443-DNA_B06		F	C	NA15763	WestEurasia	Iceland	Cell_line_repository_sampling_location_unknown	Coriell	64.1	-21.9	Genomic_from_cell_lines	FullyPublic	X
Igor20	S_Igorot-1	Igorot		LP6005519-DNA_C06		F	C	Igor20	Oceania	Philippines	"Mountain Province, Luzon Island (sampled in Singapore)"	Toomas Kivisild / Joseph Wee Tien Seng	17.1	121	Genomic_from_saliva	FullyPublic	X
Igor21	S_Igorot-2	Igorot		LP6005519-DNA_D06		M	C	Igor21	Oceania	Philippines	"Mountain Province, Luzon Island (sampled in Singapore)"	Toomas Kivisild / Joseph Wee Tien Seng	17.1	121	Genomic_from_saliva	FullyPublic	X
iran17	S_Iranian-1	Iranian		LP6005442-DNA_C04		M	C	iran17	WestEurasia	Iran	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Juri Parik	35.586	51.46	Genomic_from_blood	FullyPublic	X
iran11	S_Iranian-2	Iranian		LP6005443-DNA_B10		M	C	iran11	WestEurasia	Iran	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Juri Parik	35.586	51.46	Genomic_from_blood	FullyPublic	X
IraqiJew1771	S_Iraqi_Jew-1	Iraqi_Jew		LP6005592-DNA_F01		F	C	IraqiJew1771	WestEurasia	Iraq	Cell_line_repository	Tel-Aviv University	33.3	44.4	Genomic_from_cell_lines	FullyPublic	X
IraqiJew4291	S_Iraqi_Jew-2	Iraqi_Jew		LP6005592-DNA_E01		M	C	IraqiJew4291	WestEurasia	Iraq	Cell_line_repository	Tel-Aviv University	33.3	44.4	Genomic_from_cell_lines	FullyPublic	X
I1	S_Irula-1	Irula		LP6005519-DNA_C05		M	C	I1	SouthAsia	India	?	Lynn Jorde / Mike Bamshad / Scott Watkins	13.5	80	Genomic_from_blood	FullyPublic	X
I3	S_Irula-2	Irula		LP6005519-DNA_D05		M	C	I3	SouthAsia	India	?	Lynn Jorde / Mike Bamshad / Scott Watkins	13.5	80	Genomic_from_blood	FullyPublic	X
HGDP00328	S_Kalash-1	Kalash		LP6005441-DNA_E06		M	C	HGDP00328	SouthAsia	Pakistan	?	Howard Cann	36	71.5	Genomic_from_cell_lines	FullyPublic	X
